Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
210319458,"AI Snake Oil: What Artificial Intelligence Can Do, What It Can’t, and How to Tell the Difference",Arvind Narayanan,"Narayanan, Arvind",Sayash  Kapoor,069124913X,9780691249131,5,3.91,Princeton University Press,Hardcover,360,2024,2024,2025/10/29,2025/10/29,ai-reading,ai-reading (#7),read
51777543,Data Feminism,Catherine D’Ignazio,"D’Ignazio, Catherine",Lauren F. Klein,0262044005,9780262044004,0,4.30,MIT Press,Hardcover,328,2020,2020,,2026/01/20,"to-read, ai-reading","to-read (#111), ai-reading (#5)",to-read
222725518,Empire of AI: Dreams and Nightmares in Sam Altman's OpenAI,Karen Hao,"Hao, Karen",,0593657519,9780593657515,0,4.04,Penguin Press,Kindle Edition,496,2025,2025,,2026/01/20,"to-read, ai-reading","to-read (#110), ai-reading (#4)",to-read
222376640,Enshittification: Why Everything Suddenly Got Worse and What to Do About It,Cory Doctorow,"Doctorow, Cory",,0374619328,9780374619329,0,4.13,MCD,Hardcover,338,2025,2025,,2026/01/20,"to-read, ai-reading","to-read (#109), ai-reading (#2)",to-read
208187020,The Tech Coup: How to Save Democracy from Silicon Valley,Marietje Schaake,"Schaake, Marietje",,0691241171,9780691241173,0,3.79,Princeton University Press,Hardcover,336,2024,,,2026/01/20,"to-read, ai-reading","to-read (#108), ai-reading (#1)",to-read
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,0593135202,9780593135204,5,4.50,Ballantine Books,Hardcover,476,2021,2021,2026/01/09,2025/12/14,,,read
222490389,Alchemised,SenLinYu,"SenLinYu, SenLinYu",,0593972708,9780593972700,5,4.37,Del Rey,Hardcover,1030,2025,2025,2026/01/16,2025/12/09,,,read
223259676,"The Night Prince (The Wolf King, #2)",Lauren Palphreyman,"Palphreyman, Lauren",,,,5,4.39,,Kindle Edition,498,2025,2025,2025/12/08,2025/11/27,,,read
214151222,"Fearless (The Powerless Trilogy, #3)",Lauren  Roberts,"Roberts, Lauren",,1665955465,9781665955461,2,4.06,Simon & Schuster Books for Young Readers,Hardcover,593,2025,2025,2025/04/30,2025/04/23,,,read
63922275,"Daisy Haites: The Great Undoing (Magnolia Parks Universe, #4)",Jessa Hastings,"Hastings, Jessa",,1398717002,9781398717008,5,4.45,Orion,Kindle Edition,366,2022,2022,2024/08/04,2024/06/19,,,read
75513900,"Powerless (The Powerless Trilogy, #1)",Lauren  Roberts,"Roberts, Lauren",,,,3,4.15,,Kindle Edition,526,2023,2023,2024/03/14,2024/02/29,,,read
183086339,"Reckless (The Powerless Trilogy, #2)",Lauren  Roberts,"Roberts, Lauren",,,,3,4.08,Simon & Schuster Children's UK,Kindle Edition,396,2024,2024,2024/07/19,2024/07/12,,,read
90202302,"Iron Flame (The Empyrean, #2)",Rebecca Yarros,"Yarros, Rebecca",,1649374178,9781649374172,2,4.36,Entangled: Red Tower Books,Hardcover,640,2023,2023,2024/05/26,2024/05/15,,,read
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,1649374046,9781649374042,3,4.57,Entangled: Red Tower Books,Hardcover,517,2023,2023,2024/05/15,2024/03/14,,,read
76715522,"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,"Maas, Sarah J.",,1639731067,9781639731060,5,4.71,Bloomsbury Publishing,Hardcover,984,2023,2018,2024/05/03,2024/05/03,,,read
76713323,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,"Maas, Sarah J.",,1639731024,9781639731022,5,4.63,Bloomsbury Publishing,Hardcover,733,2023,2016,2024/04/17,2024/04/17,,,read
76707900,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,"Maas, Sarah J.",,1639731008,9781639731008,5,4.62,Bloomsbury Publishing,Hardcover,648,2023,2015,2024/04/10,2024/04/10,,,read
50659468,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"Maas, Sarah J.",,1635575583,9781635575583,5,4.63,Bloomsbury Publishing,Paperback,626,2020,2016,2024/01/25,2023/12/31,,,read
714902,"Noughts & Crosses (Noughts & Crosses, #1)",Malorie Blackman,"Blackman, Malorie",,0552555703,9780552555708,5,4.17,Corgi,Paperback,479,2006,2001,,2021/02/17,,,read
14935,Sense and Sensibility,Jane Austen,"Austen, Jane","Ros Ballaster, Джейн Остин",0141439661,9780141439662,0,4.09,Penguin Books,Paperback,409,2003,1811,,2026/01/18,to-read,to-read (#107),to-read
58341222,Reminders of Him,Colleen Hoover,"Hoover, Colleen",,1542025605,9781542025607,0,4.33,Montlake,Paperback,335,2022,2022,,2026/01/18,to-read,to-read (#106),to-read
35031085,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",Charlotte  Gordon,0143131842,9780143131847,0,3.91,Penguin Publishing Group,Paperback,260,2018,1818,,2026/01/18,to-read,to-read (#105),to-read
41957126,Verity,Colleen Hoover,"Hoover, Colleen",,,,3,4.29,"Hoover Ink, Inc.",Kindle Edition,324,2018,2018,2024/01/14,2021/09/04,,,read
214331246,"Sunrise on the Reaping (The Hunger Games, #0.5)",Suzanne Collins,"Collins, Suzanne",,1546171460,9781546171461,5,4.50,Scholastic Press,Hardcover,387,2025,2025,2025/06/21,2025/04/25,,,read
54189398,"The Spanish Love Deception (Love Deception, #1)",Elena  Armas,"Armas, Elena",,1668002531,9781668002537,0,3.79,Elena Armas,ebook,487,2021,2021,,2026/01/17,to-read,to-read (#104),to-read
56791389,"Dungeon Crawler Carl (Dungeon Crawler Carl, #1)",Matt Dinniman,"Dinniman, Matt",,,,0,4.48,Dandy House,Kindle Edition,446,2020,2020,,2026/01/14,to-read,to-read (#101),to-read
29227774,"Light Bringer (Red Rising Saga, #6)",Pierce Brown,"Brown, Pierce",,1473646804,9781473646803,0,4.77,Hodder & Stoughton,Hardcover,682,2023,2023,,2026/01/13,to-read,to-read (#100),to-read
29226553,"Dark Age (Red Rising Saga, #5)",Pierce Brown,"Brown, Pierce",,0425285952,9780425285954,0,4.51,Del Rey,ebook,704,2019,2019,,2026/01/13,to-read,to-read (#99),to-read
33257757,"Iron Gold (Red Rising Saga, #4)",Pierce Brown,"Brown, Pierce",,042528591X,9780425285916,0,4.21,Del Rey,Hardcover,602,2018,2018,,2026/01/13,to-read,to-read (#98),to-read
18966806,"Morning Star (Red Rising Saga, #3)",Pierce Brown,"Brown, Pierce",,0345539842,9780345539847,0,4.55,Del Rey,Hardcover,525,2016,2016,,2026/01/13,to-read,to-read (#97),to-read
18966819,"Golden Son (Red Rising Saga, #2)",Pierce Brown,"Brown, Pierce",,0345539826,9780345539823,0,4.50,Del Rey,ebook,466,2015,2015,,2026/01/13,to-read,to-read (#96),to-read
230889827,"The Ascended (Aesymarean Duet, #1)",Bree Grenwich,"Grenwich, Bree",Parker Lennox,,9798991112871,0,4.56,Onyx Publishing,Hardcover,754,2025,2025,,2025/12/04,"to-read, 2026","to-read (#66), 2026 (#27)",to-read
222855390,"Duskbound (Esprithean Trilogy, #2)",Bree Grenwich,"Grenwich, Bree",Parker Lennox,,9798991112833,0,4.39,ONYX Publishing,Hardcover,,2025,,,2025/12/04,"to-read, 2026","to-read (#67), 2026 (#26)",to-read
218405601,"Riftborne (Esprithean Trilogy, #1)",Bree Grenwich,"Grenwich, Bree",Parker Lennox,,9798991112819,0,3.80,ONYX Publishing,Paperback,426,2024,2024,,2025/12/04,"to-read, 2026","to-read (#65), 2026 (#25)",to-read
214183001,"The Wrath of the Fallen (Gods & Monsters, #4)",Amber V. Nicole,"Nicole, Amber V.",,1035414600,9781035414604,0,4.27,Headline Eternal,Kindle Edition,673,2025,2025,,2025/07/26,"to-read, 2026","to-read (#45), 2026 (#24)",to-read
203748904,"The Dawn of the Cursed Queen (Gods & Monsters, #3)",Amber V. Nicole,"Nicole, Amber V.",,,,0,4.30,,Unknown Binding,581,2024,2024,,2025/07/26,"to-read, 2026","to-read (#44), 2026 (#23)",to-read
141275671,"The Throne of Broken Gods (Gods & Monsters, #2)",Amber V. Nicole,"Nicole, Amber V.",,,9798986305035,0,4.20,Rose and Star Publishing,Kindle Edition,728,2023,,,2025/07/26,"to-read, 2026","to-read (#43), 2026 (#22)",to-read
59986018,"The Book of Azrael (Gods & Monsters, #1)",Amber V. Nicole,"Nicole, Amber V.",,,,0,4.12,Rose and Star Publishing,Kindle Edition,572,2022,2022,,2025/11/27,"to-read, 2026","to-read (#55), 2026 (#21)",to-read
124936017,"Heat of the Everflame (Kindred's Curse, #3)",Penn Cole,"Cole, Penn",,,,0,4.23,,Kindle Edition,778,2023,2023,,2024/06/22,"to-read, 2026","to-read (#9), 2026 (#20)",to-read
124935969,"Glow of the Everflame (Kindred's Curse, #2)",Penn Cole,"Cole, Penn",,,,0,4.33,,Kindle Edition,610,2023,2023,,2024/06/22,"to-read, 2026","to-read (#8), 2026 (#19)",to-read
123471760,"Spark of the Everflame (Kindred's Curse, #1)",Penn Cole,"Cole, Penn",,,,0,4.17,,Kindle Edition,438,2023,2023,,2024/06/22,"to-read, 2026","to-read (#7), 2026 (#18)",to-read
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",Victoria Schwab,0765387565,9780765387561,0,4.16,Tor Books,Hardcover,448,2020,2020,,2026/01/10,"to-read, 2026","to-read (#92), 2026 (#15)",to-read
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",Michael Mason,0142437204,9780142437209,0,4.16,Penguin,Paperback,532,2003,1847,,2026/01/08,to-read,to-read (#89),to-read
21853621,The Nightingale,Kristin Hannah,"Hannah, Kristin",,0312577222,9780312577223,0,4.65,St. Martin's Press,Hardcover,564,2015,2015,,2026/01/10,"to-read, 2026","to-read (#94), 2026 (#12)",to-read
43174603,"The Fires of Vengeance (The Burning, #2)",Evan Winter,"Winter, Evan",,,,0,4.38,,ebook,529,2020,2020,,2024/06/03,"to-read, 2026","to-read (#6), 2026 (#11)",to-read
41952489,"The Rage of Dragons (The Burning, #1)",Evan Winter,"Winter, Evan",,031648976X,9780316489768,0,4.30,Orbit,Hardcover,535,2019,2017,,2024/06/03,"to-read, 2026","to-read (#5), 2026 (#10)",to-read
202507554,"When the Moon Hatched (Moonfall, #1)",Sarah A. Parker,"Parker, Sarah A.",,,,0,3.99,,Kindle Edition,718,2024,2024,,2025/12/14,to-read,to-read (#85),to-read
36111098,"The Light of All That Falls (The Licanius Trilogy, #3)",James  Islington,"Islington, James",,,9780356507835,0,4.40,Orbit,ebook,864,2019,2019,,2025/12/04,"to-read, 2026","to-read (#83), 2026 (#9)",to-read
32498052,"An Echo of Things to Come (The Licanius Trilogy, #2)",James  Islington,"Islington, James",,0316274119,9780316274111,0,4.21,Orbit,Hardcover,752,2017,2017,,2025/12/04,"to-read, 2026","to-read (#82), 2026 (#8)",to-read
22878967,"The Shadow of What Was Lost (The Licanius Trilogy, #1)",James  Islington,"Islington, James",,099258020X,9780992580209,0,4.14,Aslaradis Publishing,Paperback,595,2014,2014,,2025/12/04,"to-read, 2026","to-read (#81), 2026 (#7)",to-read
38099642,"Holy Sister (Book of the Ancestor, #3)",Mark  Lawrence,"Lawrence, Mark",,0008152403,9780008152406,0,4.30,Harper Voyager,Paperback,343,2019,2019,,2025/12/04,to-read,to-read (#72),to-read
35530652,"Grey Sister (Book of the Ancestor, #2)",Mark  Lawrence,"Lawrence, Mark",,0008152349,9780008152345,0,4.35,Ace,Hardcover,416,2018,2018,,2025/12/04,to-read,to-read (#71),to-read
25895524,"Red Sister (Book of the Ancestor, #1)",Mark  Lawrence,"Lawrence, Mark",,1101988851,9781101988855,0,4.16,Ace,Hardcover,467,2017,2017,,2025/12/04,to-read,to-read (#70),to-read
41886271,The Sword of Kaigen,M.L. Wang,"Wang, M.L.",,,,0,4.44,Amazon Digital Services,Kindle Edition,651,2019,2019,,2025/12/14,"to-read, 2026","to-read (#87), 2026 (#5)",to-read
51642969,All the Lonely People,Mike Gayle,"Gayle, Mike",,1473687403,9781473687400,0,4.16,Hodder & Stoughton,Kindle Edition,430,2020,2020,,2026/01/10,to-read,to-read (#93),to-read
